t_recv,node,sanitizing,lambda_size,lambda
46.7314,kind-worker3,False,1,"[""x09""]"
46.8722,kind-worker3,False,2,"[""x09"", ""x10""]"
46.8844,kind-worker3,False,2,"[""x09"", ""x10""]"
50.0622,kind-worker,False,4,"[""x01"", ""x04"", ""x05"", ""x07""]"
50.0727,kind-worker,False,4,"[""x01"", ""x04"", ""x05"", ""x07""]"
54.8263,kind-worker4,True,2,"[""x03"", ""x08""]"
54.839,kind-worker4,True,2,"[""x03"", ""x08""]"
58.2286,kind-worker5,True,0,[]
58.254,kind-worker5,False,0,[]
58.2587,kind-worker5,False,0,[]
58.2695,kind-worker5,False,0,[]
58.3232,kind-worker5,False,1,"[""x06""]"
58.3358,kind-worker5,False,1,"[""x06""]"
58.4153,kind-worker5,False,2,"[""x06"", ""x08""]"
58.4253,kind-worker5,False,2,"[""x06"", ""x08""]"
59.1472,kind-worker,True,4,"[""x01"", ""x04"", ""x05"", ""x07""]"
59.1593,kind-worker,True,4,"[""x01"", ""x04"", ""x05"", ""x07""]"
60.0552,kind-control-plane,False,0,[]
60.0615,kind-worker,True,4,"[""x01"", ""x04"", ""x05"", ""x07""]"
60.0663,kind-worker2,True,2,"[""x02"", ""x04""]"
60.0724,kind-worker3,False,2,"[""x09"", ""x10""]"
60.076,kind-worker4,True,2,"[""x03"", ""x08""]"
60.0842,kind-worker5,False,2,"[""x06"", ""x08""]"
66.6499,kind-worker3,True,2,"[""x09"", ""x10""]"
66.6635,kind-worker3,True,2,"[""x09"", ""x10""]"
71.1727,kind-worker5,False,3,"[""x01"", ""x06"", ""x08""]"
71.1834,kind-worker5,False,3,"[""x01"", ""x06"", ""x08""]"
75.1571,kind-worker4,True,0,[]
75.2146,kind-worker4,True,0,[]
75.223,kind-worker4,False,0,[]
75.2343,kind-worker4,False,0,[]
75.2931,kind-worker4,False,1,"[""x07""]"
75.3047,kind-worker4,False,1,"[""x07""]"
75.3869,kind-worker4,False,2,"[""x05"", ""x07""]"
75.3986,kind-worker4,False,2,"[""x05"", ""x07""]"
78.2708,kind-worker5,True,3,"[""x01"", ""x06"", ""x08""]"
78.2838,kind-worker5,True,3,"[""x01"", ""x06"", ""x08""]"
85.1148,kind-worker4,False,3,"[""x04"", ""x05"", ""x07""]"
85.1256,kind-worker4,False,3,"[""x04"", ""x05"", ""x07""]"
86.6679,kind-worker2,True,0,[]
86.6844,kind-worker2,False,0,[]
86.6935,kind-worker2,False,0,[]
86.7155,kind-worker2,False,0,[]
86.8078,kind-worker2,False,1,"[""x02""]"
86.8186,kind-worker2,False,1,"[""x02""]"
91.1807,kind-worker4,False,4,"[""x01"", ""x04"", ""x05"", ""x07""]"
91.1906,kind-worker4,False,4,"[""x01"", ""x04"", ""x05"", ""x07""]"
93.2066,kind-worker2,False,2,"[""x02"", ""x04""]"
93.216,kind-worker2,False,2,"[""x02"", ""x04""]"
94.9048,kind-worker3,True,2,"[""x09"", ""x10""]"
95.287,kind-worker4,True,4,"[""x01"", ""x04"", ""x05"", ""x07""]"
95.3018,kind-worker4,True,4,"[""x01"", ""x04"", ""x05"", ""x07""]"
99.7133,kind-worker,True,0,[]
99.7287,kind-worker,False,0,[]
99.7389,kind-worker,False,0,[]
99.75,kind-worker,False,0,[]
99.8159,kind-worker,False,1,"[""x09""]"
99.827,kind-worker,False,1,"[""x09""]"
99.9512,kind-worker,False,2,"[""x09"", ""x10""]"
99.964,kind-worker,False,2,"[""x09"", ""x10""]"
106.75,kind-worker2,True,2,"[""x02"", ""x04""]"
106.7646,kind-worker2,True,2,"[""x02"", ""x04""]"
107.2414,kind-worker3,True,0,[]
107.5063,kind-worker3,True,0,[]
107.5163,kind-worker3,False,0,[]
107.5313,kind-worker3,False,0,[]
107.6039,kind-worker3,False,1,"[""x05""]"
107.6141,kind-worker3,False,1,"[""x05""]"
108.2337,kind-worker3,False,2,"[""x05"", ""x10""]"
108.245,kind-worker3,False,2,"[""x05"", ""x10""]"
112.0739,kind-worker3,False,3,"[""x04"", ""x05"", ""x10""]"
112.0855,kind-worker3,False,3,"[""x04"", ""x05"", ""x10""]"
115.7529,kind-worker4,True,0,[]
115.7707,kind-worker4,False,0,[]
115.7837,kind-worker4,False,0,[]
115.794,kind-worker4,False,0,[]
115.9756,kind-worker4,False,1,"[""x06""]"
115.9853,kind-worker4,False,1,"[""x06""]"
116.1913,kind-worker4,False,2,"[""x06"", ""x08""]"
116.2035,kind-worker4,False,2,"[""x06"", ""x08""]"
118.7871,kind-worker5,True,0,[]
118.8018,kind-worker5,False,0,[]
118.8126,kind-worker5,False,0,[]
118.8232,kind-worker5,False,0,[]
119.0816,kind-worker5,False,1,"[""x03""]"
119.0925,kind-worker5,False,1,"[""x03""]"
119.7481,kind-worker,True,2,"[""x09"", ""x10""]"
119.7638,kind-worker,True,2,"[""x09"", ""x10""]"
120.0656,kind-control-plane,False,0,[]
120.0759,kind-worker,True,2,"[""x09"", ""x10""]"
120.0816,kind-worker2,True,2,"[""x02"", ""x04""]"
120.0851,kind-worker3,False,3,"[""x04"", ""x05"", ""x10""]"
120.0898,kind-worker4,False,2,"[""x06"", ""x08""]"
120.0934,kind-worker5,False,1,"[""x03""]"
122.2849,kind-worker5,False,2,"[""x03"", ""x04""]"
122.3075,kind-worker5,False,2,"[""x03"", ""x04""]"
124.0863,kind-worker4,False,3,"[""x01"", ""x06"", ""x08""]"
124.0948,kind-worker4,False,3,"[""x01"", ""x06"", ""x08""]"
127.1641,kind-worker2,True,0,[]
127.29,kind-worker2,True,0,[]
127.2973,kind-worker2,False,0,[]
127.3098,kind-worker2,False,0,[]
127.4707,kind-worker2,False,1,"[""x09""]"
127.4813,kind-worker2,False,1,"[""x09""]"
127.496,kind-worker2,False,2,"[""x07"", ""x09""]"
127.5083,kind-worker2,False,2,"[""x07"", ""x09""]"
127.6179,kind-worker3,True,3,"[""x04"", ""x05"", ""x10""]"
127.6316,kind-worker3,True,3,"[""x04"", ""x05"", ""x10""]"
135.7927,kind-worker4,True,3,"[""x01"", ""x06"", ""x08""]"
135.8065,kind-worker4,True,3,"[""x01"", ""x06"", ""x08""]"
138.823,kind-worker5,True,2,"[""x03"", ""x04""]"
138.8364,kind-worker5,True,2,"[""x03"", ""x04""]"
147.3289,kind-worker2,True,2,"[""x07"", ""x09""]"
147.3447,kind-worker2,True,2,"[""x07"", ""x09""]"
148.0206,kind-worker3,True,0,[]
148.034,kind-worker3,True,0,[]
148.0441,kind-worker3,False,0,[]
148.0728,kind-worker3,False,1,"[""x08""]"
