t_recv,kind,type,name,detail
7.0425,TaskRequest,MODIFIED,eval-sanitize-1-r4-007,phase=Scheduled job=None
7.0459,Pod,ADDED,eval-sanitize-1-r4-007-xfc55,phase=Pending node=None
7.0478,Job,MODIFIED,eval-sanitize-1-r4-007,
7.0498,Job,MODIFIED,eval-sanitize-1-r4-006,
7.0514,TaskRequest,MODIFIED,eval-sanitize-1-r4-007,phase=Scheduled job=None
7.0522,Event,ADDED,eval-sanitize-1-r4-007.18d3d05e7ab108e3,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-007-xfc55
7.0526,Event,ADDED,eval-sanitize-1-r4-007-xfc55.18d3d05e7ac00948,"reason=FailedScheduling count=None msg=0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling."
7.0535,Pod,MODIFIED,eval-sanitize-1-r4-007-xfc55,phase=Pending node=None
7.0595,Job,MODIFIED,eval-sanitize-1-r4-006,
8.0099,TaskRequest,ADDED,eval-sanitize-1-r4-008,phase=None job=None
8.0614,TaskRequest,MODIFIED,eval-sanitize-1-r4-008,phase=Pending job=None
8.0629,Job,MODIFIED,eval-sanitize-1-r4-007,
8.0762,Job,ADDED,eval-sanitize-1-r4-008,
8.0834,Pod,ADDED,eval-sanitize-1-r4-008-b6mpq,phase=Pending node=None
8.0835,TaskRequest,MODIFIED,eval-sanitize-1-r4-008,phase=Scheduled job=None
8.087,Job,MODIFIED,eval-sanitize-1-r4-008,
8.0891,Event,ADDED,eval-sanitize-1-r4-008.18d3d05eb8907716,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-008-b6mpq
8.0894,Event,ADDED,eval-sanitize-1-r4-008-b6mpq.18d3d05eb89897a2,"reason=FailedScheduling count=None msg=0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling."
8.0904,Pod,MODIFIED,eval-sanitize-1-r4-008-b6mpq,phase=Pending node=None
8.091,TaskRequest,MODIFIED,eval-sanitize-1-r4-008,phase=Scheduled job=None
8.0938,Job,MODIFIED,eval-sanitize-1-r4-007,
9.012,TaskRequest,ADDED,eval-sanitize-1-r4-009,phase=None job=None
9.0162,TaskRequest,MODIFIED,eval-sanitize-1-r4-009,phase=Pending job=None
9.0328,Job,ADDED,eval-sanitize-1-r4-009,
9.0387,TaskRequest,MODIFIED,eval-sanitize-1-r4-009,phase=Scheduled job=None
9.0398,Pod,ADDED,eval-sanitize-1-r4-009-6t66f,phase=Pending node=None
9.0413,Job,MODIFIED,eval-sanitize-1-r4-009,
9.0455,Event,ADDED,eval-sanitize-1-r4-009.18d3d05ef18e208a,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-009-6t66f
9.0457,Event,ADDED,eval-sanitize-1-r4-009-6t66f.18d3d05ef19eaf3b,"reason=FailedScheduling count=None msg=0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling."
9.0467,Pod,MODIFIED,eval-sanitize-1-r4-009-6t66f,phase=Pending node=None
9.0469,TaskRequest,MODIFIED,eval-sanitize-1-r4-009,phase=Scheduled job=None
9.0898,Job,MODIFIED,eval-sanitize-1-r4-008,
9.0992,Job,MODIFIED,eval-sanitize-1-r4-008,
10.0114,TaskRequest,ADDED,eval-sanitize-1-r4-010,phase=None job=None
10.0163,TaskRequest,MODIFIED,eval-sanitize-1-r4-010,phase=Pending job=None
10.034,Job,ADDED,eval-sanitize-1-r4-010,
10.0414,TaskRequest,MODIFIED,eval-sanitize-1-r4-010,phase=Scheduled job=None
10.0426,Pod,ADDED,eval-sanitize-1-r4-010-kbqpr,phase=Pending node=None
10.0456,Job,MODIFIED,eval-sanitize-1-r4-010,
10.0491,Job,MODIFIED,eval-sanitize-1-r4-009,
10.0508,Event,ADDED,eval-sanitize-1-r4-010.18d3d05f2d4a9a95,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-010-kbqpr
10.051,TaskRequest,MODIFIED,eval-sanitize-1-r4-010,phase=Scheduled job=None
10.0513,Event,ADDED,eval-sanitize-1-r4-010-kbqpr.18d3d05f2d59f1c5,"reason=FailedScheduling count=None msg=0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling."
10.0522,Pod,MODIFIED,eval-sanitize-1-r4-010-kbqpr,phase=Pending node=None
10.0594,Job,MODIFIED,eval-sanitize-1-r4-009,
11.01,TaskRequest,ADDED,eval-sanitize-1-r4-011,phase=None job=None
11.0139,TaskRequest,MODIFIED,eval-sanitize-1-r4-011,phase=Pending job=None
11.0295,Job,ADDED,eval-sanitize-1-r4-011,
11.0339,TaskRequest,MODIFIED,eval-sanitize-1-r4-011,phase=Scheduled job=None
11.0368,Pod,ADDED,eval-sanitize-1-r4-011-jhd5q,phase=Pending node=None
11.0385,Job,MODIFIED,eval-sanitize-1-r4-011,
11.0431,Event,ADDED,eval-sanitize-1-r4-011.18d3d05f689d3c70,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-011-jhd5q
11.0435,Event,ADDED,eval-sanitize-1-r4-011-jhd5q.18d3d05f68a7298f,"reason=FailedScheduling count=None msg=0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling."
11.0436,TaskRequest,MODIFIED,eval-sanitize-1-r4-011,phase=Scheduled job=None
11.0445,Pod,MODIFIED,eval-sanitize-1-r4-011-jhd5q,phase=Pending node=None
11.0469,Job,MODIFIED,eval-sanitize-1-r4-010,
11.0557,Job,MODIFIED,eval-sanitize-1-r4-010,
11.2834,Pod,MODIFIED,eval-sanitize-1-r4-000-fcgd4,phase=Running node=kind-worker2
12.0098,TaskRequest,ADDED,eval-sanitize-1-r4-012,phase=None job=None
12.0582,TaskRequest,MODIFIED,eval-sanitize-1-r4-012,phase=Pending job=None
12.0617,Job,MODIFIED,eval-sanitize-1-r4-011,
12.0741,Job,ADDED,eval-sanitize-1-r4-012,
12.0809,Pod,ADDED,eval-sanitize-1-r4-012-8ggbb,phase=Pending node=None
12.0823,TaskRequest,MODIFIED,eval-sanitize-1-r4-012,phase=Scheduled job=None
12.0835,Job,MODIFIED,eval-sanitize-1-r4-012,
12.0874,Event,ADDED,eval-sanitize-1-r4-012.18d3d05fa6dc7a44,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-012-8ggbb
12.0877,Event,ADDED,eval-sanitize-1-r4-012-8ggbb.18d3d05fa6e61eeb,"reason=FailedScheduling count=None msg=0/6 nodes are available: 6 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 6 Preemption is not helpful for scheduling."
12.0886,Pod,MODIFIED,eval-sanitize-1-r4-012-8ggbb,phase=Pending node=None
12.0935,Job,MODIFIED,eval-sanitize-1-r4-011,
12.1054,TaskRequest,MODIFIED,eval-sanitize-1-r4-012,phase=Scheduled job=None
12.188,Pod,MODIFIED,eval-sanitize-1-r4-001-c9gq9,phase=Running node=kind-worker
12.2878,Job,MODIFIED,eval-sanitize-1-r4-000,
12.2979,Job,MODIFIED,eval-sanitize-1-r4-000,
12.381,Pod,MODIFIED,eval-sanitize-1-r4-000-fcgd4,phase=Succeeded node=kind-worker2
13.01,Node,MODIFIED,kind-worker2,taints=1
13.0165,TaskRequest,ADDED,eval-sanitize-1-r4-013,phase=None job=None
13.0203,TaskRequest,MODIFIED,eval-sanitize-1-r4-013,phase=Pending job=None
13.0242,Node,MODIFIED,kind-worker2,taints=0
13.0319,Pod,MODIFIED,eval-sanitize-1-r4-005-tvn85,phase=Pending node=kind-worker2
13.036,Job,ADDED,eval-sanitize-1-r4-013,
13.0384,Event,ADDED,eval-sanitize-1-r4-005-tvn85.18d3d05fdf84b2ea,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-1-r4-005-tvn85 to kind-worker2
13.0408,Pod,MODIFIED,eval-sanitize-1-r4-006-g2dtg,phase=Pending node=None
13.0427,Event,ADDED,eval-sanitize-1-r4-006-g2dtg.18d3d05fdfc25b31,"reason=FailedScheduling count=None msg=0/6 nodes are available: 1 c_wall violated: 1 conflicting context pair(s) with node memory, 5 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 1 No preemption victims found for incoming pod, 5 Preemption is not helpful for scheduling."
13.0455,TaskRequest,MODIFIED,eval-sanitize-1-r4-013,phase=Scheduled job=None
13.0463,Pod,ADDED,eval-sanitize-1-r4-013-b74cz,phase=Pending node=None
13.0476,Node,MODIFIED,kind-worker2,taints=0
13.0489,Pod,MODIFIED,eval-sanitize-1-r4-005-tvn85,phase=Pending node=kind-worker2
13.0495,Job,MODIFIED,eval-sanitize-1-r4-013,
13.0511,Event,ADDED,eval-sanitize-1-r4-013.18d3d05fe05d3d19,reason=SuccessfulCreate count=1 msg=Created pod: eval-sanitize-1-r4-013-b74cz
13.0542,Node,MODIFIED,kind-worker2,taints=0
13.0657,Node,MODIFIED,kind-worker2,taints=0
13.0678,TaskRequest,MODIFIED,eval-sanitize-1-r4-013,phase=Scheduled job=None
13.086,Job,MODIFIED,eval-sanitize-1-r4-012,
13.0956,Job,MODIFIED,eval-sanitize-1-r4-012,
13.1796,Pod,MODIFIED,eval-sanitize-1-r4-007-xfc55,phase=Pending node=kind-worker2
13.1805,Event,ADDED,eval-sanitize-1-r4-008-b6mpq.18d3d05fe5337b31,"reason=FailedScheduling count=None msg=0/6 nodes are available: 1 c_wall violated: 2 conflicting context pair(s) with node memory, 5 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 1 No preemption victims found for incoming pod, 5 Preemption is not helpful for scheduling."
13.1815,Pod,MODIFIED,eval-sanitize-1-r4-008-b6mpq,phase=Pending node=None
13.1832,Event,ADDED,eval-sanitize-1-r4-007-xfc55.18d3d05fe8506453,reason=Scheduled count=None msg=Successfully assigned compute/eval-sanitize-1-r4-007-xfc55 to kind-worker2
13.1901,Pod,MODIFIED,eval-sanitize-1-r4-007-xfc55,phase=Pending node=kind-worker2
13.1912,Event,ADDED,eval-sanitize-1-r4-009-6t66f.18d3d05fe8ad8c96,"reason=FailedScheduling count=None msg=0/6 nodes are available: 1 c_wall violated: 1 conflicting context pair(s) with node memory, 5 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/6 nodes are available: 1 No preemption victims found for incoming pod, 5 Preemption is not helpful for scheduling."
13.1922,Pod,MODIFIED,eval-sanitize-1-r4-009-6t66f,phase=Pending node=None
13.1935,Node,MODIFIED,kind-worker2,taints=0
13.1945,Job,MODIFIED,eval-sanitize-1-r4-001,
