task_id,name,issuer,context,context_degree,datasets,replica,t_submit_planned,t_submit_start,t_submit_end,submit_jitter_s,admission_s,admission_status,admitted,t_tr_pending,t_tr_scheduled,t_tr_complete,t_tr_failed,job_name,t_job_seen,translation_s,pod_name,t_pod_seen,pod_creation_s,t_pod_scheduled,scheduling_s,node,latency_s,n_failed_attempts,n_attempts_wall,n_attempts_taint,n_attempts_other,nodes_wall_first,nodes_taint_first,block_cause,blocked,t_first_rejection,wait_s,first_rejection_msg,t_pod_running,t_pod_succeeded,t_pod_failed,startup_s,execution_s,completion_s,final_phase,tr_final_phase,timed_out
32,eval-conflicts-rho010-r1-032,issuer10,x10,0,"[""d10""]",1,32.0,32.0001,32.0084,0.0001,0.0083,201,True,32.0122,32.0373,45.9784,nan,eval-conflicts-rho010-r1-032,32.0291,0.0208,eval-conflicts-rho010-r1-032-qnwjp,32.0355,0.0063,32.0549,0.0194,kind-worker5,0.0548,0,0,0,0,0,0,none,False,nan,nan,,32.8949,44.013,nan,0.84,11.1181,12.0129,Succeeded,Complete,False
33,eval-conflicts-rho010-r1-033,issuer1,x01,0,"[""d01""]",1,33.0,33.0002,33.0147,0.0002,0.0144,201,True,33.0196,33.0411,47.2925,nan,eval-conflicts-rho010-r1-033,33.0343,0.0197,eval-conflicts-rho010-r1-033-67zld,33.042,0.0077,33.0584,0.0164,kind-worker4,0.0582,0,0,0,0,0,0,none,False,nan,nan,,34.2242,45.3356,nan,1.1657,11.1114,12.3353,Succeeded,Complete,False
34,eval-conflicts-rho010-r1-034,issuer8,x08,2,"[""d08""]",1,34.0,34.0002,34.0093,0.0002,0.009,201,True,34.0129,34.0348,48.1196,nan,eval-conflicts-rho010-r1-034,34.0275,0.0182,eval-conflicts-rho010-r1-034-cc96z,34.0334,0.0059,34.0482,0.0148,kind-worker2,0.048,0,0,0,0,0,0,none,False,nan,nan,,35.0381,46.1649,nan,0.9899,11.1269,12.1647,Succeeded,Complete,False
35,eval-conflicts-rho010-r1-035,issuer6,x06,1,"[""d06""]",1,35.0,35.0002,35.0203,0.0002,0.0201,201,True,35.0253,35.0472,49.1254,nan,eval-conflicts-rho010-r1-035,35.0407,0.0204,eval-conflicts-rho010-r1-035-nnjps,35.047,0.0063,35.064,0.017,kind-worker2,0.0638,0,0,0,0,0,0,none,False,nan,nan,,36.0408,47.2648,nan,0.9768,11.224,12.2647,Succeeded,Complete,False
36,eval-conflicts-rho010-r1-036,issuer8,x08,2,"[""d08""]",1,36.0,36.0002,36.01,0.0002,0.0098,201,True,36.0135,36.0354,50.1317,nan,eval-conflicts-rho010-r1-036,36.0284,0.0184,eval-conflicts-rho010-r1-036-blxvc,36.0352,0.0067,36.0505,0.0153,kind-worker2,0.0503,0,0,0,0,0,0,none,False,nan,nan,,37.0446,48.1748,nan,0.9941,11.1302,12.1746,Succeeded,Complete,False
37,eval-conflicts-rho010-r1-037,issuer10,x10,0,"[""d10""]",1,37.0,37.0002,37.0078,0.0002,0.0076,201,True,37.0113,37.032,50.1361,nan,eval-conflicts-rho010-r1-037,37.0259,0.0181,eval-conflicts-rho010-r1-037-knvct,37.0319,0.006,37.0453,0.0134,kind-worker2,0.0452,0,0,0,0,0,0,none,False,nan,nan,,38.0607,49.2581,nan,1.0154,11.1973,12.2579,Succeeded,Complete,False
38,eval-conflicts-rho010-r1-038,issuer4,x04,1,"[""d04""]",1,38.0,38.0002,38.007,0.0002,0.0068,201,True,38.0115,38.0312,52.1482,nan,eval-conflicts-rho010-r1-038,38.0261,0.0191,eval-conflicts-rho010-r1-038-mgzbl,38.0345,0.0084,38.0547,0.0202,kind-worker2,0.0545,0,0,0,0,0,0,none,False,nan,nan,,39.0691,50.197,nan,1.0144,11.1279,12.1968,Succeeded,Complete,False
39,eval-conflicts-rho010-r1-039,issuer9,x09,0,"[""d09""]",1,39.0,39.0001,39.0108,0.0001,0.0107,201,True,39.0144,39.0345,53.1511,nan,eval-conflicts-rho010-r1-039,39.0294,0.0186,eval-conflicts-rho010-r1-039-ts5dv,39.0371,0.0078,39.0479,0.0108,kind-worker2,0.0477,0,0,0,0,0,0,none,False,nan,nan,,40.0724,51.2173,nan,1.0245,11.145,12.2172,Succeeded,Complete,False
40,eval-conflicts-rho010-r1-040,issuer4,x04,1,"[""d04""]",1,40.0,40.0003,40.0119,0.0003,0.0116,201,True,40.0168,40.0423,53.9734,nan,eval-conflicts-rho010-r1-040,40.0303,0.0184,eval-conflicts-rho010-r1-040-776vh,40.0407,0.0104,40.0565,0.0158,kind-worker3,0.0562,0,0,0,0,0,0,none,False,nan,nan,,40.9063,52.0564,nan,0.8498,11.1501,12.0561,Succeeded,Complete,False
41,eval-conflicts-rho010-r1-041,issuer5,x05,2,"[""d05""]",1,41.0,41.0001,41.0072,0.0001,0.0071,201,True,41.0104,41.0533,54.9867,nan,eval-conflicts-rho010-r1-041,41.0492,0.0421,eval-conflicts-rho010-r1-041-4lwmr,41.0556,0.0064,41.0696,0.014,kind-worker3,0.0695,0,0,0,0,0,0,none,False,nan,nan,,41.9084,53.027,nan,0.8388,11.1186,12.0269,Succeeded,Complete,False
42,eval-conflicts-rho010-r1-042,issuer8,x08,2,"[""d08""]",1,42.0,42.0003,42.0075,0.0003,0.0072,201,True,42.011,42.0328,56.1632,nan,eval-conflicts-rho010-r1-042,42.0265,0.019,eval-conflicts-rho010-r1-042-69tgp,42.0327,0.0062,42.0447,0.012,kind-worker2,0.0444,0,0,0,0,0,0,none,False,nan,nan,,43.0751,54.2005,nan,1.0304,11.1254,12.2002,Succeeded,Complete,False
43,eval-conflicts-rho010-r1-043,issuer1,x01,0,"[""d01""]",1,43.0,43.0001,43.0072,0.0001,0.0071,201,True,43.0109,43.033,57.0044,nan,eval-conflicts-rho010-r1-043,43.0267,0.0195,eval-conflicts-rho010-r1-043-p9g4g,43.033,0.0063,43.0575,0.0245,kind-worker3,0.0574,0,0,0,0,0,0,none,False,nan,nan,,43.9155,55.0341,nan,0.858,11.1186,12.034,Succeeded,Complete,False
44,eval-conflicts-rho010-r1-044,issuer2,x02,0,"[""d02""]",1,44.0,44.0005,44.0072,0.0005,0.0067,201,True,44.0131,44.0326,57.8801,nan,eval-conflicts-rho010-r1-044,44.0249,0.0177,eval-conflicts-rho010-r1-044-h9wk9,44.031,0.0061,44.0392,0.0082,kind-worker,0.0387,0,0,0,0,0,0,none,False,nan,nan,,44.799,55.9318,nan,0.7598,11.1327,11.9313,Succeeded,Complete,False
