t_recv,kind,type,name,detail
3.0189,TaskRequest,MODIFIED,eval-wallcheck-r0-03,phase=Pending job=None
3.0349,Job,ADDED,eval-wallcheck-r0-03,
3.0428,Pod,ADDED,eval-wallcheck-r0-03-hrqs8,phase=Pending node=None
3.0429,TaskRequest,MODIFIED,eval-wallcheck-r0-03,phase=Scheduled job=None
3.0454,Job,MODIFIED,eval-wallcheck-r0-03,
3.0474,Event,ADDED,eval-wallcheck-r0-03.18d3c565af3c57d3,reason=SuccessfulCreate count=1 msg=Created pod: eval-wallcheck-r0-03-hrqs8
3.0513,Job,MODIFIED,eval-wallcheck-r0-02,
3.0515,TaskRequest,MODIFIED,eval-wallcheck-r0-03,phase=Scheduled job=None
3.0585,Job,MODIFIED,eval-wallcheck-r0-01,
3.0629,Job,MODIFIED,eval-wallcheck-r0-02,
3.0656,Pod,MODIFIED,eval-wallcheck-r0-03-hrqs8,phase=Pending node=kind-worker3
3.0714,Job,MODIFIED,eval-wallcheck-r0-01,
3.0722,Event,ADDED,eval-wallcheck-r0-03-hrqs8.18d3c565b09f6a32,reason=Scheduled count=None msg=Successfully assigned compute/eval-wallcheck-r0-03-hrqs8 to kind-worker3
3.0767,Node,MODIFIED,kind-worker3,taints=0
3.0782,Pod,MODIFIED,eval-wallcheck-r0-03-hrqs8,phase=Pending node=kind-worker3
3.0877,Node,MODIFIED,kind-worker3,taints=0
3.5048,Event,ADDED,eval-wallcheck-r0-03-hrqs8.18d3c565ca86b28b,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
3.5219,Event,ADDED,eval-wallcheck-r0-03-hrqs8.18d3c565cba68104,reason=Created count=1 msg=Created container: task
3.5563,Event,ADDED,eval-wallcheck-r0-03-hrqs8.18d3c565cda6a9ac,reason=Started count=1 msg=Started container task
3.9579,Pod,MODIFIED,eval-wallcheck-r0-03-hrqs8,phase=Running node=kind-worker3
4.0125,TaskRequest,ADDED,eval-wallcheck-r0-04,phase=None job=None
4.0178,TaskRequest,MODIFIED,eval-wallcheck-r0-04,phase=Pending job=None
4.0338,Job,ADDED,eval-wallcheck-r0-04,
4.0393,TaskRequest,MODIFIED,eval-wallcheck-r0-04,phase=Scheduled job=None
4.0423,Pod,ADDED,eval-wallcheck-r0-04-qkjkp,phase=Pending node=None
4.0444,Job,MODIFIED,eval-wallcheck-r0-04,
4.0491,Event,ADDED,eval-wallcheck-r0-04.18d3c565eadf38a9,reason=SuccessfulCreate count=1 msg=Created pod: eval-wallcheck-r0-04-qkjkp
4.0493,TaskRequest,MODIFIED,eval-wallcheck-r0-04,phase=Scheduled job=None
4.0501,Job,MODIFIED,eval-wallcheck-r0-03,
4.0601,Job,MODIFIED,eval-wallcheck-r0-03,
4.1195,Pod,MODIFIED,eval-wallcheck-r0-04-qkjkp,phase=Pending node=kind-worker5
4.1233,Event,ADDED,eval-wallcheck-r0-04-qkjkp.18d3c565ef6ff9eb,reason=Scheduled count=None msg=Successfully assigned compute/eval-wallcheck-r0-04-qkjkp to kind-worker5
4.1286,Pod,MODIFIED,eval-wallcheck-r0-04-qkjkp,phase=Pending node=kind-worker5
4.1313,Node,MODIFIED,kind-worker5,taints=0
4.1434,Node,MODIFIED,kind-worker5,taints=0
4.5493,Event,ADDED,eval-wallcheck-r0-04-qkjkp.18d3c56608d5a343,"reason=Pulled count=1 msg=Container image ""busybox:musl"" already present on machine"
4.5668,Event,ADDED,eval-wallcheck-r0-04-qkjkp.18d3c56609ea0bcd,reason=Created count=1 msg=Created container: task
4.6002,Event,ADDED,eval-wallcheck-r0-04-qkjkp.18d3c5660bd15567,reason=Started count=1 msg=Started container task
4.958,Pod,MODIFIED,eval-wallcheck-r0-04-qkjkp,phase=Running node=kind-worker5
5.0147,TaskRequest,ADDED,eval-wallcheck-r0-05,phase=None job=None
5.0204,TaskRequest,MODIFIED,eval-wallcheck-r0-05,phase=Pending job=None
5.037,Job,ADDED,eval-wallcheck-r0-05,
5.0451,Pod,ADDED,eval-wallcheck-r0-05-l8vqq,phase=Pending node=None
5.0452,TaskRequest,MODIFIED,eval-wallcheck-r0-05,phase=Scheduled job=None
5.0481,Job,MODIFIED,eval-wallcheck-r0-05,
5.0506,Job,MODIFIED,eval-wallcheck-r0-04,
5.0511,Event,ADDED,eval-wallcheck-r0-05.18d3c566269b33dc,reason=SuccessfulCreate count=1 msg=Created pod: eval-wallcheck-r0-05-l8vqq
5.0533,TaskRequest,MODIFIED,eval-wallcheck-r0-05,phase=Scheduled job=None
5.0597,Job,MODIFIED,eval-wallcheck-r0-04,
5.1252,Pod,MODIFIED,eval-wallcheck-r0-05-l8vqq,phase=Pending node=None
5.1255,Event,ADDED,eval-wallcheck-r0-05-l8vqq.18d3c5662ad81d66,"reason=FailedScheduling count=None msg=0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod."
5.2219,Event,ADDED,eval-wallcheck-r0-05-l8vqq.18d3c56630dfce23,"reason=FailedScheduling count=None msg=0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod."
5.9563,Pod,MODIFIED,eval-wallcheck-r0-00-pwbpx,phase=Running node=kind-worker4
5.9813,Event,MODIFIED,eval-wallcheck-r0-05-l8vqq.18d3c56630dfce23,"reason=FailedScheduling count=None msg=0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod."
6.0137,TaskRequest,ADDED,eval-wallcheck-r0-06,phase=None job=None
6.023,TaskRequest,MODIFIED,eval-wallcheck-r0-06,phase=Pending job=None
6.0408,Job,ADDED,eval-wallcheck-r0-06,
6.0472,TaskRequest,MODIFIED,eval-wallcheck-r0-06,phase=Scheduled job=None
6.0507,Job,MODIFIED,eval-wallcheck-r0-05,
6.0525,Pod,ADDED,eval-wallcheck-r0-06-jkmmc,phase=Pending node=None
6.0536,Job,MODIFIED,eval-wallcheck-r0-06,
6.0562,Event,ADDED,eval-wallcheck-r0-06.18d3c56662900bab,reason=SuccessfulCreate count=1 msg=Created pod: eval-wallcheck-r0-06-jkmmc
6.0572,TaskRequest,MODIFIED,eval-wallcheck-r0-06,phase=Scheduled job=None
6.0635,Job,MODIFIED,eval-wallcheck-r0-05,
6.1199,Pod,MODIFIED,eval-wallcheck-r0-06-jkmmc,phase=Pending node=None
6.1204,Event,ADDED,eval-wallcheck-r0-06-jkmmc.18d3c566664c85d4,"reason=FailedScheduling count=None msg=0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod."
6.2191,Event,ADDED,eval-wallcheck-r0-06-jkmmc.18d3c5666c558601,"reason=FailedScheduling count=None msg=0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod."
6.9635,Job,MODIFIED,eval-wallcheck-r0-00,
6.9748,Job,MODIFIED,eval-wallcheck-r0-00,
7.015,TaskRequest,ADDED,eval-wallcheck-r0-07,phase=None job=None
7.0193,TaskRequest,MODIFIED,eval-wallcheck-r0-07,phase=Pending job=None
7.0374,Job,ADDED,eval-wallcheck-r0-07,
7.0426,TaskRequest,MODIFIED,eval-wallcheck-r0-07,phase=Scheduled job=None
7.046,Pod,ADDED,eval-wallcheck-r0-07-k7drx,phase=Pending node=None
7.0483,Job,MODIFIED,eval-wallcheck-r0-07,
7.0549,Pod,MODIFIED,eval-wallcheck-r0-00-pwbpx,phase=Succeeded node=kind-worker4
7.0554,Event,ADDED,eval-wallcheck-r0-07.18d3c5669de373e6,reason=SuccessfulCreate count=1 msg=Created pod: eval-wallcheck-r0-07-k7drx
7.0555,TaskRequest,MODIFIED,eval-wallcheck-r0-07,phase=Scheduled job=None
7.0578,Job,MODIFIED,eval-wallcheck-r0-06,
7.0691,Job,MODIFIED,eval-wallcheck-r0-06,
7.1209,Pod,MODIFIED,eval-wallcheck-r0-07-k7drx,phase=Pending node=None
